,date,close,diff,open,high,low,volume
1,2020-09-29,8240.0,10.0,8400.0,8830.0,8210.0,351305.0
2,2020-09-28,8230.0,160.0,8670.0,8670.0,8050.0,274667.0
3,2020-09-25,8390.0,690.0,9200.0,9310.0,8310.0,339736.0
4,2020-09-24,9080.0,920.0,9760.0,9970.0,8830.0,331518.0
5,2020-09-23,10000.0,1150.0,11150.0,11150.0,9980.0,322021.0
9,2020-09-22,11150.0,950.0,11900.0,12000.0,10700.0,323009.0
10,2020-09-21,12100.0,1300.0,13600.0,13600.0,11700.0,295707.0
11,2020-09-18,13400.0,400.0,13150.0,13400.0,12950.0,47982.0
12,2020-09-17,13000.0,500.0,13300.0,13500.0,12750.0,64586.0
13,2020-09-16,13500.0,300.0,13050.0,13600.0,12900.0,63348.0
16,2020-09-15,13200.0,0.0,13650.0,13650.0,12750.0,81831.0
17,2020-09-14,13200.0,800.0,12550.0,13300.0,12400.0,116169.0
18,2020-09-11,12400.0,300.0,12550.0,12750.0,12350.0,52477.0
19,2020-09-10,12700.0,800.0,12300.0,13750.0,12250.0,280295.0
20,2020-09-09,11900.0,300.0,12150.0,12200.0,11900.0,52692.0
24,2020-09-08,12200.0,100.0,12100.0,12450.0,12000.0,44944.0
25,2020-09-07,12100.0,0.0,12100.0,12350.0,11800.0,39193.0
26,2020-09-04,12100.0,300.0,12050.0,12400.0,11900.0,54008.0
27,2020-09-03,12400.0,150.0,12500.0,12600.0,12300.0,26582.0
28,2020-09-02,12550.0,0.0,12750.0,12750.0,12150.0,49160.0
31,2020-09-01,12550.0,550.0,11900.0,12800.0,11900.0,72028.0
32,2020-08-31,12000.0,50.0,12050.0,12550.0,11900.0,73203.0
33,2020-08-28,12050.0,350.0,11900.0,12200.0,11750.0,67664.0
34,2020-08-27,11700.0,400.0,12050.0,12050.0,11650.0,72082.0
35,2020-08-26,12100.0,250.0,12250.0,12400.0,11900.0,67527.0
39,2020-08-25,12350.0,100.0,12350.0,12550.0,12200.0,69823.0
40,2020-08-24,12450.0,250.0,12400.0,12450.0,11800.0,60127.0
41,2020-08-21,12200.0,450.0,12250.0,12650.0,12150.0,65142.0
42,2020-08-20,12650.0,600.0,13050.0,13150.0,11900.0,120148.0
43,2020-08-19,13250.0,200.0,13050.0,13750.0,12850.0,73769.0
46,2020-08-18,13050.0,450.0,13450.0,13950.0,12700.0,138337.0
47,2020-08-14,13500.0,1100.0,14550.0,14550.0,13300.0,113781.0
48,2020-08-13,14600.0,400.0,15150.0,15150.0,13800.0,227475.0
49,2020-08-12,15000.0,100.0,15350.0,16650.0,14600.0,578037.0
50,2020-08-11,14900.0,1900.0,12900.0,16550.0,12900.0,1103577.0
54,2020-08-10,13000.0,600.0,13600.0,13600.0,12750.0,94277.0
55,2020-08-07,13600.0,1050.0,12900.0,13750.0,12350.0,131741.0
56,2020-08-06,12550.0,250.0,12300.0,12600.0,12200.0,52908.0
57,2020-08-05,12300.0,250.0,12050.0,12350.0,11950.0,53149.0
58,2020-08-04,12050.0,200.0,11800.0,12200.0,11800.0,28716.0
61,2020-08-03,11850.0,100.0,11950.0,12250.0,11650.0,50279.0
62,2020-07-31,11950.0,100.0,12100.0,12100.0,11850.0,35351.0
63,2020-07-30,12050.0,100.0,11950.0,12100.0,11750.0,44196.0
64,2020-07-29,11950.0,250.0,12050.0,12150.0,11850.0,63822.0
65,2020-07-28,12200.0,300.0,12300.0,12500.0,12150.0,60172.0
69,2020-07-27,12500.0,450.0,12050.0,12650.0,11750.0,76619.0
70,2020-07-24,12050.0,300.0,12250.0,12250.0,11850.0,62795.0
71,2020-07-23,12350.0,250.0,12600.0,12600.0,12100.0,73216.0
72,2020-07-22,12600.0,450.0,12400.0,12650.0,12000.0,93719.0
73,2020-07-21,12150.0,400.0,11800.0,12200.0,11600.0,77454.0
76,2020-07-20,11750.0,450.0,12050.0,12150.0,11650.0,108998.0
77,2020-07-17,12200.0,100.0,12100.0,12450.0,12100.0,31581.0
78,2020-07-16,12300.0,100.0,12100.0,12350.0,12050.0,35405.0
79,2020-07-15,12200.0,50.0,12250.0,12700.0,12050.0,73304.0
80,2020-07-14,12250.0,150.0,12450.0,12450.0,11850.0,59215.0
84,2020-07-13,12400.0,150.0,12250.0,12450.0,12050.0,53498.0
85,2020-07-10,12250.0,700.0,13100.0,13150.0,12150.0,86106.0
86,2020-07-09,12950.0,200.0,13150.0,13250.0,12900.0,51349.0
87,2020-07-08,13150.0,250.0,13100.0,13750.0,12900.0,132859.0
88,2020-07-07,12900.0,50.0,12800.0,13200.0,12650.0,62924.0
91,2020-07-06,12950.0,50.0,13500.0,13500.0,12400.0,113530.0
92,2020-07-03,13000.0,1050.0,12100.0,13950.0,11700.0,270032.0
93,2020-07-02,11950.0,300.0,11900.0,12150.0,11550.0,72286.0
94,2020-07-01,11650.0,100.0,11750.0,12300.0,11500.0,78981.0
95,2020-06-30,11750.0,200.0,11900.0,12000.0,11600.0,67397.0
99,2020-06-29,11950.0,300.0,12050.0,12200.0,11700.0,54232.0
100,2020-06-26,12250.0,50.0,12400.0,12500.0,12100.0,44342.0
101,2020-06-25,12300.0,700.0,13000.0,13000.0,12300.0,94253.0
102,2020-06-24,13000.0,50.0,13000.0,13150.0,12650.0,79842.0
103,2020-06-23,13050.0,50.0,13050.0,13500.0,12800.0,97389.0
106,2020-06-22,13000.0,600.0,13400.0,13600.0,13000.0,90263.0
107,2020-06-19,13600.0,500.0,14100.0,14150.0,13300.0,109119.0
108,2020-06-18,14100.0,100.0,14400.0,14400.0,13600.0,99019.0
109,2020-06-17,14000.0,500.0,14450.0,14900.0,13800.0,141741.0
110,2020-06-16,14500.0,500.0,14200.0,15000.0,14000.0,201922.0
114,2020-06-15,14000.0,2500.0,15800.0,16000.0,13600.0,301587.0
115,2020-06-12,16500.0,3050.0,18050.0,18350.0,16350.0,696213.0
116,2020-06-11,19550.0,850.0,18800.0,21300.0,17200.0,1024388.0
117,2020-06-10,18700.0,2100.0,16450.0,20500.0,16200.0,1281804.0
118,2020-06-09,16600.0,300.0,16350.0,16650.0,15800.0,173550.0
121,2020-06-08,16300.0,250.0,16100.0,16850.0,15900.0,224480.0
122,2020-06-05,16050.0,200.0,16000.0,16300.0,15100.0,150650.0
123,2020-06-04,16250.0,650.0,16600.0,17100.0,15700.0,216588.0
124,2020-06-03,16900.0,1250.0,15200.0,17500.0,15050.0,616074.0
125,2020-06-02,15650.0,150.0,15550.0,15750.0,14300.0,398321.0
129,2020-06-01,15800.0,100.0,15500.0,16450.0,14950.0,439004.0
130,2020-05-29,15700.0,2700.0,13200.0,16300.0,12800.0,1165423.0
131,2020-05-28,13000.0,1200.0,14450.0,15300.0,12550.0,2037610.0
132,2020-05-27,11800.0,150.0,12000.0,12000.0,11600.0,72214.0
133,2020-05-26,11950.0,100.0,11750.0,12200.0,11600.0,66886.0
136,2020-05-25,11850.0,250.0,12100.0,12150.0,11600.0,69837.0
137,2020-05-22,12100.0,400.0,12500.0,12500.0,12000.0,58635.0
138,2020-05-21,12500.0,250.0,12600.0,12650.0,12250.0,57927.0
139,2020-05-20,12250.0,0.0,12050.0,12700.0,12050.0,67598.0
140,2020-05-19,12250.0,300.0,12650.0,12900.0,12100.0,67744.0
144,2020-05-18,12550.0,100.0,13250.0,13250.0,12350.0,60008.0
145,2020-05-15,12650.0,550.0,12050.0,12700.0,11800.0,80251.0
146,2020-05-14,12100.0,550.0,12650.0,12900.0,12100.0,66450.0
147,2020-05-13,12650.0,450.0,11800.0,12700.0,11800.0,91448.0
148,2020-05-12,12200.0,450.0,12850.0,12850.0,12000.0,81704.0
151,2020-05-11,12650.0,400.0,12950.0,13300.0,12300.0,92752.0
152,2020-05-08,13050.0,100.0,13250.0,13500.0,12800.0,113465.0
153,2020-05-07,13150.0,100.0,13050.0,13800.0,12850.0,110308.0
154,2020-05-06,13250.0,1200.0,12350.0,14300.0,12100.0,496879.0
155,2020-05-04,12050.0,550.0,11700.0,12200.0,11200.0,235089.0
159,2020-04-29,11500.0,250.0,11250.0,12200.0,11100.0,311741.0
160,2020-04-28,11250.0,1000.0,12000.0,12250.0,11100.0,308527.0
161,2020-04-27,12250.0,1850.0,13450.0,13500.0,11600.0,478916.0
162,2020-04-24,14100.0,650.0,15500.0,15700.0,14000.0,114031.0
163,2020-04-23,14750.0,250.0,14750.0,15650.0,14500.0,105409.0
166,2020-04-22,14500.0,2250.0,18500.0,18500.0,14000.0,180125.0
167,2020-04-21,16750.0,750.0,16700.0,18750.0,16400.0,216332.0
168,2020-04-20,16000.0,2800.0,13000.0,17000.0,13000.0,187109.0
169,2020-04-17,13200.0,1150.0,12050.0,13200.0,11650.0,148599.0
170,2020-04-16,12050.0,950.0,11750.0,13900.0,10500.0,674462.0
174,2020-04-14,11100.0,2100.0,9450.0,11600.0,9210.0,864304.0
175,2020-04-13,9000.0,900.0,8300.0,9770.0,8180.0,202121.0
