name, code, section
동화약품, A000020, 1
KR모터스, A000040, 1
경방, A000050, 1
메리츠화재, A000060, 1
삼양홀딩스, A000070, 1
삼양홀딩스우, A000075, 1
하이트진로, A000080, 1
하이트진로2우B, A000087, 1
유한양행, A000100, 1
유한양행우, A000105, 1
CJ대한통운, A000120, 1
하이트진로홀딩스, A000140, 1
하이트진로홀딩스우, A000145, 1
두산, A000150, 1
두산우, A000155, 1
두산2우B, A000157, 1
성창기업지주, A000180, 1
대림산업, A000210, 1
대림산업우, A000215, 1
유유제약, A000220, 1
유유제약1우, A000225, 1
유유제약2우B, A000227, 1
일동홀딩스, A000230, 1
한국테크놀로지그룹, A000240, 1
기아차, A000270, 1
대유플러스, A000300, 1
노루홀딩스, A000320, 1
노루홀딩스우, A000325, 1
한화손해보험, A000370, 1
삼화페인트, A000390, 1
롯데손해보험, A000400, 1
대원강업, A000430, 1
조선내화, A000480, 1
대동공업, A000490, 1
가온전선, A000500, 1
삼일제약, A000520, 1
흥국화재, A000540, 1
흥국화재우, A000545, 1
흥국화재2우B, A000547, 1
CS홀딩스, A000590, 1
동아쏘시오홀딩스, A000640, 1
천일고속, A000650, 1
SK하이닉스, A000660, 1
영풍, A000670, 1
LS네트웍스, A000680, 1
유수홀딩스, A000700, 1
현대건설, A000720, 1
현대건설우, A000725, 1
이화산업, A000760, 1
삼성화재, A000810, 1
삼성화재우, A000815, 1
화천기공, A000850, 1
강남제비스코, A000860, 1
한화, A000880, 1
한화우, A000885, 1
한화3우B, A00088K, 1
보해양조, A000890, 1
유니온, A000910, 1
전방, A000950, 1
한국주철관, A000970, 1
DB하이텍, A000990, 1
DB하이텍1우, A000995, 1
페이퍼코리아, A001020, 1
CJ, A001040, 1
CJ우, A001045, 1
CJ4우(전환), A00104K, 1
JW중외제약, A001060, 1
JW중외제약우, A001065, 1
JW중외제약2우B, A001067, 1
대한방직, A001070, 1
만호제강, A001080, 1
LG상사, A001120, 1
대한제분, A001130, 1
국보, A001140, 1
유진투자증권, A001200, 1
금호전기, A001210, 1
동국제강, A001230, 1
GS글로벌, A001250, 1
남광토건, A001260, 1
부국증권, A001270, 1
부국증권우, A001275, 1
상상인증권, A001290, 1
백광산업, A001340, 1
삼성제약, A001360, 1
SG충방, A001380, 1
KG케미칼, A001390, 1
태원물산, A001420, 1
세아베스틸, A001430, 1
대한전선, A001440, 1
현대해상, A001450, 1
BYC, A001460, 1
BYC우, A001465, 1
삼부토건, A001470, 1
현대차증권, A001500, 1
SK증권, A001510, 1
SK증권우, A001515, 1
동양, A001520, 1
동양우, A001525, 1
동양2우B, A001527, 1
동양3우B, A001529, 1
DI동일, A001530, 1
조비, A001550, 1
제일연마, A001560, 1
금양, A001570, 1
케이비아이동국실업, A001620, 1
종근당홀딩스, A001630, 1
대상, A001680, 1
대상우, A001685, 1
신영증권, A001720, 1
신영증권우, A001725, 1
SK네트웍스, A001740, 1
SK네트웍스우, A001745, 1
한양증권, A001750, 1
한양증권우, A001755, 1
신화실업, A001770, 1
알루코, A001780, 1
대한제당, A001790, 1
대한제당우, A001795, 1
오리온홀딩스, A001800, 1
삼화콘덴서, A001820, 1
대림건설, A001880, 1
KISCO홀딩스, A001940, 1
코오롱, A002020, 1
코오롱우, A002025, 1
아세아, A002030, 1
비비안, A002070, 1
경농, A002100, 1
고려산업, A002140, 1
도화엔지니어링, A002150, 1
삼양통상, A002170, 1
한국수출포장, A002200, 1
동성제약, A002210, 1
한일철강, A002220, 1
고려제강, A002240, 1
롯데푸드, A002270, 1
아세아제지, A002310, 1
한진, A002320, 1
넥센타이어, A002350, 1
넥센타이어1우B, A002355, 1
SH에너지화학, A002360, 1
KCC, A002380, 1
한독, A002390, 1
범양건영, A002410, 1
세기상사, A002420, 1
삼익악기, A002450, 1
화성산업, A002460, 1
조흥, A002600, 1
제일파마홀딩스, A002620, 1
오리엔트바이오, A002630, 1
동일제강, A002690, 1
신일전자, A002700, 1
TCC스틸, A002710, 1
국제약품, A002720, 1
보락, A002760, 1
진흥기업, A002780, 1
진흥기업우B, A002785, 1
진흥기업2우B, A002787, 1
아모레G, A002790, 1
아모레G우, A002795, 1
아모레G3우(전환), A00279K, 1
삼영무역, A002810, 1
선창산업, A002820, 1
미원상사, A002840, 1
신풍제지, A002870, 1
대유에이텍, A002880, 1
동양물산, A002900, 1
유성기업, A002920, 1
한국쉘석유, A002960, 1
금호산업, A002990, 1
금호산업우, A002995, 1
부광약품, A003000, 1
혜인, A003010, 1
